match_id,match_seq_num,patch,region,start_time,duration,game_mode,skill,first_blood_time,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,dire_score,radiant_score,radiant_win
6226435704,5206472222,49,5,1634437922,1439,22,,71,63,48,2047,256,37,11,False
6226435701,5206471409,49,20,1634437912,1386,22,,94,51,63,260,2047,7,29,True
6226434205,5206472777,49,20,1634437810,1595,3,,224,63,3,2047,4,46,10,False
6226433410,5206472357,49,3,1634437752,1599,22,3,63,63,0,2046,0,37,13,False
6226432919,5206468753,49,15,1634437710,1323,22,1,0,63,51,2047,390,43,14,False
6226432812,5206470879,49,20,1634437700,1578,22,1,175,63,0,1982,0,20,7,False
6226432008,5206472833,49,20,1634437649,1777,22,,124,0,60,0,1976,15,40,True
6226431907,5206471768,49,15,1634437643,1529,22,1,42,63,48,2047,384,32,15,False
6226431904,5206468938,49,2,1634437638,1408,22,,105,63,48,2047,256,30,15,False
6226431902,5206469342,49,15,1634437638,1133,22,1,9,63,51,2047,4,26,9,False
6226431507,5206470242,49,15,1634437603,1564,22,1,5,3,63,4,2047,7,28,True
6226431503,5206471887,49,14,1634437582,1734,22,,66,48,63,256,2047,21,48,True
6226431416,5206469866,49,18,1634437597,1566,3,3,80,51,63,454,1974,23,24,True
6226431405,5206468022,49,15,1634437597,1381,22,1,47,51,63,388,2038,16,37,True
6226431317,5206472711,49,3,1634437581,1823,22,,46,63,0,1972,0,39,24,False
6226431304,5206469359,49,8,1634437597,1505,22,3,101,3,63,4,1983,14,29,True
6226431300,5206467022,49,20,1634437597,1327,3,3,117,51,63,388,1983,8,25,True
6226431219,5206469281,49,1,1634437576,1480,22,1,127,51,63,260,2047,3,27,True
6226430913,5206472841,49,15,1634437566,1858,22,,107,48,63,256,1983,18,49,True
6226430801,5206471728,49,5,1634437555,1790,22,,56,63,0,2038,0,25,10,False
6226430506,5206472548,49,5,1634437535,1724,22,,0,63,0,1982,0,39,13,False
6226430417,5206471435,49,20,1634437530,1795,3,3,103,0,63,0,1983,20,33,True
6226430415,5206470743,49,15,1634437529,1695,22,1,0,48,63,256,2047,17,44,True
6226430102,5206472845,49,8,1634437503,1926,22,,110,48,63,256,2039,17,32,True
6226430014,5206472852,49,8,1634437498,1965,22,,0,63,51,1975,388,62,16,False
6226429514,5206465256,49,8,1634437452,1280,22,1,58,51,63,260,1974,9,27,True
6226429411,5206472347,49,10,1634437452,1943,22,,11,63,0,2046,0,50,9,False
