match_id,match_seq_num,patch,region,start_time,duration,game_mode,skill,first_blood_time,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,dire_score,radiant_score,radiant_win
6016302103,5039151294,48,3,1622270427,2241,22,1,81,63,3,2047,4,32,14,False
6016302102,5039145971,48,15,1622270427,1987,22,1,122,0,63,0,1974,22,43,True
6016302101,5039154515,48,5,1622270426,2610,22,1,175,51,63,388,1572,33,33,True
6016302017,5039163465,48,5,1622270415,3213,22,,5,0,63,0,1846,30,49,True
6016302016,5039148531,48,8,1622270422,2092,22,1,33,63,3,1846,6,40,41,False
6016302015,5039143647,48,13,1622270422,1877,22,1,0,0,63,0,1983,23,42,True
6016302014,5039161305,48,5,1622270422,2988,22,2,6,63,3,1920,6,63,36,False
6016302013,5039160535,48,5,1622270421,2988,22,2,3,0,51,0,1920,49,48,True
6016302010,5039155315,48,5,1622270421,2669,22,1,85,51,63,260,1974,31,50,True
6016302008,5039148713,48,15,1622270411,2195,22,1,104,63,0,1972,0,42,13,False
6016301916,5039137355,48,5,1622270407,1420,22,1,76,63,0,2047,0,32,9,False
6016301902,5039143134,48,8,1622270415,1834,22,1,217,51,63,260,1975,18,26,True
6016301901,5039162627,48,8,1622270401,3180,22,,170,63,51,1844,260,45,48,False
6016301814,5039157647,48,19,1622270416,2822,22,1,73,0,15,0,1575,40,56,True
6016301813,5039152886,48,8,1622270412,2529,22,1,169,51,63,260,1846,27,30,True
6016301717,5039156195,48,15,1622270407,2640,22,,27,51,3,388,1540,61,39,True
6016301716,5039148930,48,20,1622270406,2277,3,1,17,0,63,0,1974,21,38,True
6016301715,5039144630,48,20,1622270405,1928,3,1,150,0,63,0,2047,11,37,True
6016301714,5039150995,48,2,1622270402,2157,22,2,0,3,63,6,2038,35,44,True
6016301713,5039144322,48,18,1622270392,1921,22,1,65,0,63,0,1982,16,23,True
6016301704,5039154175,48,20,1622270407,2597,3,3,43,51,63,262,1974,28,40,True
6016301619,5039153107,48,5,1622270391,2423,22,1,130,63,0,1972,0,54,31,False
6016301618,5039161617,48,8,1622270377,3115,22,3,196,51,51,388,1542,42,58,True
6016301601,5039150573,48,8,1622270391,2377,22,1,11,3,63,4,1974,33,58,True
