match_id,match_seq_num,patch,region,start_time,duration,game_mode,skill,first_blood_time,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,dire_score,radiant_score,radiant_win
6126365118,5127312697,48,5,1628439415,2042,22,2,109,63,51,1974,4,39,17,False
6126365117,5127341021,48,5,1628439415,3373,22,3,11,51,0,1540,0,55,40,False
6126365116,5127330699,48,8,1628439415,2883,22,2,4,55,51,1796,260,63,38,False
6126365112,5127316474,48,8,1628439399,2254,22,,66,0,63,0,1982,30,48,True
6126365111,5127321389,48,8,1628439404,2508,22,,125,63,3,2038,4,54,22,False
6126365019,5127311320,48,13,1628439399,1961,3,1,14,63,48,1846,384,48,29,False
6126365002,5127307823,48,5,1628439410,1802,22,2,146,48,63,384,1983,19,33,True
6126365001,5127321274,48,7,1628439410,2487,22,2,183,63,0,1972,0,51,32,False
6126365000,5127311213,48,15,1628439409,1922,22,1,2,0,63,0,2046,27,42,True
6126364911,5127312992,48,19,1628439401,2016,22,,116,48,63,256,1975,21,53,True
6126364910,5127328129,48,8,1628439400,2793,22,,8,28,51,1536,390,41,39,False
6126364908,5127308527,48,3,1628439398,1854,22,2,8,0,63,0,2038,32,41,True
6126364907,5127318001,48,5,1628439395,2330,22,1,53,63,0,1956,0,45,22,False
6126364905,5127318769,48,3,1628439380,2337,22,2,116,55,3,1926,4,54,32,False
6126364904,5127327379,48,3,1628439375,2813,22,,0,51,63,390,1574,43,57,True
6126364815,5127321040,48,5,1628439400,2456,22,,94,2,63,0,1974,19,40,True
6126364814,5127334113,48,9,1628439394,3170,22,,278,63,0,1830,0,68,51,False
6126364811,5127343010,48,5,1628439399,3563,22,,222,63,0,1974,0,63,32,False
6126364808,5127321763,48,19,1628439394,2503,22,,14,3,63,4,2046,23,45,True
6126364807,5127305374,48,10,1628439390,1729,22,3,117,63,48,1972,256,39,14,False
6126364719,5127315420,48,5,1628439394,2177,22,1,83,63,0,2038,0,35,14,False
6126364718,5127306905,48,3,1628439394,1778,22,2,89,0,63,0,1975,24,43,True
6126364717,5127315363,48,8,1628439394,1961,22,3,161,0,63,0,1958,19,38,True
6126364716,5127334017,48,5,1628439394,3164,22,2,41,63,51,1572,390,48,49,False
6126364713,5127315777,48,8,1628439380,2253,22,2,137,51,63,4,1846,31,46,True
6126364701,5127325264,48,5,1628439395,2701,22,,86,15,51,36,390,38,42,False
6126364618,5127313265,48,3,1628439394,2063,22,1,79,63,63,390,1974,23,36,True
6126364617,5127322890,48,8,1628439394,2574,22,1,0,63,0,1974,0,46,22,False
6126364200,5127320478,48,8,1628439375,2483,22,3,2,63,0,1958,0,45,33,False
6126364119,5127332193,48,8,1628439370,3098,22,,108,48,63,384,1830,41,60,True
6126364118,5127316914,48,13,1628439369,2311,22,1,331,0,63,0,1830,23,41,True
6126364117,5127315592,48,5,1628439365,2076,22,1,291,63,3,1982,4,43,26,False
6126364116,5127308221,48,8,1628439370,1887,22,2,8,0,63,0,2047,27,57,True
6126364111,5127322641,48,1,1628439366,2559,22,,97,0,63,0,1975,31,48,True
6126364109,5127320994,48,8,1628439345,2485,22,,104,63,48,1972,256,65,28,False
6126364108,5127329847,48,10,1628439344,2905,22,,37,51,3,454,1536,48,68,True
6126364012,5127316546,48,9,1628439371,2317,22,3,44,0,63,0,1846,23,45,True
6126364008,5127320602,48,13,1628439370,2506,22,1,149,63,0,2047,0,41,32,False
6126364000,5127324326,48,8,1628439365,2709,22,,388,51,63,0,1830,35,43,True
6126363918,5127317206,48,5,1628439364,2228,22,,73,63,32,1974,0,39,20,False
6126363912,5127326804,48,13,1628439360,2794,22,,0,63,51,1958,256,61,38,False
6126363910,5127328144,48,8,1628439350,2772,22,1,95,63,3,1846,6,63,60,False
6126363902,5127316344,48,9,1628439366,2160,22,1,15,48,63,256,1974,33,40,True
6126363815,5127305180,48,8,1628439364,1751,22,2,139,15,0,1572,0,27,26,False
6126363807,5127329070,48,5,1628439355,2927,22,,133,63,0,2022,0,61,46,False
6126363806,5127310027,48,3,1628439355,1984,22,2,52,48,63,384,1975,30,47,True
6126363804,5127330433,48,3,1628439339,2902,22,,390,63,0,1974,0,42,36,False
6126363802,5127327221,48,13,1628439325,2850,3,3,174,63,3,1972,0,52,28,False
6126363716,5127314425,48,1,1628439334,2204,22,1,3,0,63,0,1974,33,37,True
6126363610,5127326526,48,5,1628439354,2569,22,,141,63,0,2038,0,41,28,False
6126363608,5127324866,48,8,1628439354,2724,22,,258,63,0,1974,0,60,28,False
6126363606,5127331509,48,8,1628439353,3081,22,1,11,0,63,0,1958,45,63,True
6126363603,5127333885,48,13,1628439345,3187,22,3,3,0,63,0,1975,21,44,True
6126363602,5127311355,48,5,1628439350,2002,22,1,212,3,63,4,1575,16,31,True
6126363518,5127305792,48,10,1628439345,1760,22,2,120,3,63,6,2047,19,41,True
6126363213,5127319371,48,15,1628439305,2357,22,,182,0,63,0,1974,23,41,True
6126363201,5127317840,48,8,1628439338,2347,22,1,164,63,0,1590,0,26,11,False
6126363200,5127322097,48,15,1628439339,2583,22,,7,51,0,1926,0,40,35,False
6126363119,5127342540,48,5,1628439335,3596,22,,1,63,51,1828,6,43,46,False
6126363116,5127324210,48,9,1628439335,2717,22,2,52,0,63,0,1980,27,48,True
6126363115,5127311146,48,8,1628439334,2057,22,2,4,63,51,1828,390,30,24,False
6126363112,5127338490,48,2,1628439334,3451,22,3,182,0,63,0,1974,30,32,True
6126363110,5127311099,48,3,1628439334,2056,22,2,165,63,0,1974,0,43,34,False
6126363109,5127326992,48,3,1628439333,2871,22,,189,63,0,1958,0,44,36,False
6126363108,5127297268,48,5,1628439333,1298,22,3,103,63,51,1974,390,27,8,False
6126363107,5127330520,48,5,1628439333,3022,22,,103,0,63,0,1974,32,44,True
6126363105,5127310930,48,15,1628439324,2030,22,1,7,0,63,0,1974,25,19,True
6126363102,5127328603,48,8,1628439329,2953,22,,103,3,63,4,1830,41,51,True
6126363100,5127313981,48,8,1628439325,2197,22,,139,51,63,262,1974,33,45,True
6126363016,5127339540,48,5,1628439329,3513,22,3,108,0,3,0,519,48,53,True
6126363015,5127300028,48,13,1628439329,1436,3,3,140,63,15,2046,54,38,17,False
6126363013,5127333585,48,3,1628439325,2896,22,,0,63,3,2038,4,62,27,False
6126363011,5127328120,48,9,1628439320,2793,22,,266,48,63,384,1846,48,48,True
6126362903,5127310913,48,15,1628439325,2051,22,1,110,0,63,0,1975,24,48,True
6126362819,5127349056,48,15,1628439306,3972,22,,84,51,48,260,1792,48,48,True
6126362816,5127306508,48,3,1628439275,1825,22,,65,48,63,256,1982,12,45,True
6126362803,5127315278,48,9,1628439320,2290,22,1,0,51,63,260,1975,19,44,True
6126362801,5127320600,48,8,1628439320,2307,22,,110,63,3,1974,6,50,46,False
6126362718,5127306231,48,5,1628439319,1827,22,1,134,0,63,0,2046,30,55,True
6126362717,5127318934,48,15,1628439319,2327,22,,131,63,0,2038,0,59,39,False
6126362715,5127311568,48,3,1628439318,2064,22,1,273,63,51,1974,388,38,29,False
6126362714,5127321939,48,5,1628439315,2479,22,3,48,63,0,1956,0,50,35,False
6126362315,5127318068,48,19,1628439303,2443,22,,143,0,63,0,1975,43,44,True
6126362312,5127311328,48,5,1628439299,2084,22,1,161,0,63,0,1983,16,43,True
6126362308,5127306142,48,20,1628439294,1856,3,1,0,63,0,1846,0,45,15,False
